Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN,audit_price_column,audit_price,price_under_0_99,price_equal_0_99,price_under_1_49,price_over_100
147385600560,Lightwheel Enhancements DFT C NM,,06.19.26-002,1,FIXED_PRICE,USD,1.09,,,1.09,0,,,Jun-19-26 06:00:55 PDT,Jul-19-26 06:00:55 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,1.09,False,False,True,False
147385600562,Murderous Compulsion INR C NM,,06.19.26-003,1,FIXED_PRICE,USD,1.09,,,1.09,0,,,Jun-19-26 06:00:55 PDT,Jul-19-26 06:00:55 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,1.09,False,False,True,False
147385600567,Galvanic Juggernaut INR U NM,,06.19.26-006,1,FIXED_PRICE,USD,1.19,,,1.19,0,,,Jun-19-26 06:00:55 PDT,Jul-19-26 06:00:55 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,1.19,False,False,True,False
147385600568,Brightfield Glider DFT C NM,,06.19.26-001,1,FIXED_PRICE,USD,1.09,,,1.09,0,,,Jun-19-26 06:00:55 PDT,Jul-19-26 06:00:55 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,1.09,False,False,True,False
147385600569,Lightning Axe INR U NM,,06.19.26-007,1,FIXED_PRICE,USD,1.19,,,1.19,0,,,Jun-19-26 06:00:55 PDT,Jul-19-26 06:00:55 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,1.19,False,False,True,False
147385600572,Quintessential Katana TMT U NM,,06.19.26-016,1,FIXED_PRICE,USD,1.09,,,1.09,0,,,Jun-19-26 06:00:55 PDT,Jul-19-26 06:00:55 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,1.09,False,False,True,False
147385600574,Morkrut Banshee INR U NM,,06.19.26-005,1,FIXED_PRICE,USD,1.19,,,1.19,0,,,Jun-19-26 06:00:55 PDT,Jul-19-26 06:00:55 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,1.19,False,False,True,False
147385600575,Twinblade Geist INR U NM,,06.19.26-009,1,FIXED_PRICE,USD,1.09,,,1.09,0,,,Jun-19-26 06:00:55 PDT,Jul-19-26 06:00:55 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,1.09,False,False,True,False
147385600606,Swiftwing Assailant DFT C NM,,06.19.26-066,1,FIXED_PRICE,USD,1.29,,,1.29,0,,,Jun-19-26 06:00:59 PDT,Jul-19-26 06:00:59 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,1.29,False,False,True,False
147385600607,Loxodon Surveyor DFT C NM,,06.19.26-067,1,FIXED_PRICE,USD,1.09,,,1.09,0,,,Jun-19-26 06:00:59 PDT,Jul-19-26 06:00:59 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,1.09,False,False,True,False
