putnam_card_id,set_name,card_name,printed_number,product_id,product_name,status
pkm-ascended-heroes-49-217-d7a8d0bedf,Ascended Heroes,N's Vanillite,49/217,677031,N's Vanillite (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-49-217-d7a8d0bedf,Ascended Heroes,N's Vanillite,49/217,676891,N's Vanillite (Poke Ball),LINKED
pkm-ascended-heroes-50-217-a08f15ca3c,Ascended Heroes,N's Vanillish,50/217,675862,N's Vanillish,LINKED
pkm-ascended-heroes-50-217-a08f15ca3c,Ascended Heroes,N's Vanillish,50/217,677032,N's Vanillish (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-50-217-a08f15ca3c,Ascended Heroes,N's Vanillish,50/217,676892,N's Vanillish (Poke Ball),LINKED
pkm-ascended-heroes-51-217-3e7996997f,Ascended Heroes,N's Vanilluxe,51/217,675863,N's Vanilluxe,LINKED
pkm-ascended-heroes-51-217-3e7996997f,Ascended Heroes,N's Vanilluxe,51/217,677033,N's Vanilluxe (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-51-217-3e7996997f,Ascended Heroes,N's Vanilluxe,51/217,676893,N's Vanilluxe (Poke Ball),LINKED
pkm-ascended-heroes-52-217-5fb8dc7739,Ascended Heroes,Snom,52/217,675864,Snom,LINKED
pkm-ascended-heroes-52-217-5fb8dc7739,Ascended Heroes,Snom,52/217,677034,Snom (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-52-217-5fb8dc7739,Ascended Heroes,Snom,52/217,676894,Snom (Friend Ball),LINKED
pkm-ascended-heroes-53-217-b6384d4ca3,Ascended Heroes,Frosmoth,53/217,675865,Frosmoth,LINKED
pkm-ascended-heroes-53-217-b6384d4ca3,Ascended Heroes,Frosmoth,53/217,677035,Frosmoth (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-53-217-b6384d4ca3,Ascended Heroes,Frosmoth,53/217,676895,Frosmoth (Friend Ball),LINKED
pkm-ascended-heroes-54-217-e1019658d2,Ascended Heroes,Glastrier,54/217,675866,Glastrier,LINKED
pkm-ascended-heroes-54-217-e1019658d2,Ascended Heroes,Glastrier,54/217,677036,Glastrier (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-54-217-e1019658d2,Ascended Heroes,Glastrier,54/217,676896,Glastrier (Friend Ball),LINKED
pkm-ascended-heroes-55-217-d5d41bd728,Ascended Heroes,Pikachu,55/217,675867,Pikachu,LINKED
pkm-ascended-heroes-55-217-d5d41bd728,Ascended Heroes,Pikachu,55/217,677037,Pikachu (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-55-217-d5d41bd728,Ascended Heroes,Pikachu,55/217,676897,Pikachu (Friend Ball),LINKED
pkm-ascended-heroes-56-217-a9896fc15d,Ascended Heroes,Raichu,56/217,675868,Raichu,LINKED
pkm-ascended-heroes-56-217-a9896fc15d,Ascended Heroes,Raichu,56/217,677038,Raichu (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-56-217-a9896fc15d,Ascended Heroes,Raichu,56/217,676898,Raichu (Friend Ball),LINKED
pkm-ascended-heroes-57-217-53305205b4,Ascended Heroes,Pikachu ex,57/217,675869,Pikachu ex - 057/217,SKIP_NAME_MISMATCH
pkm-ascended-heroes-58-217-56e6123f2a,Ascended Heroes,Voltorb ex,58/217,675870,Voltorb ex,LINKED
pkm-ascended-heroes-59-217-35b2065d2d,Ascended Heroes,Tynamo,59/217,675871,Tynamo,LINKED
pkm-ascended-heroes-59-217-35b2065d2d,Ascended Heroes,Tynamo,59/217,677039,Tynamo (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-59-217-35b2065d2d,Ascended Heroes,Tynamo,59/217,676899,Tynamo (Quick Ball),LINKED
pkm-ascended-heroes-60-217-c7bc84c2cf,Ascended Heroes,Eelektrik,60/217,675872,Eelektrik,LINKED
pkm-ascended-heroes-60-217-c7bc84c2cf,Ascended Heroes,Eelektrik,60/217,677040,Eelektrik (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-60-217-c7bc84c2cf,Ascended Heroes,Eelektrik,60/217,676900,Eelektrik (Quick Ball),LINKED
pkm-ascended-heroes-61-217-883d7cf4f2,Ascended Heroes,Mega Eelektross ex,61/217,675873,Mega Eelektross ex - 061/217,SKIP_NAME_MISMATCH
pkm-ascended-heroes-62-217-e114baa52d,Ascended Heroes,Stunfisk,62/217,675874,Stunfisk,LINKED
pkm-ascended-heroes-62-217-e114baa52d,Ascended Heroes,Stunfisk,62/217,677041,Stunfisk (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-62-217-e114baa52d,Ascended Heroes,Stunfisk,62/217,676901,Stunfisk (Quick Ball),LINKED
pkm-ascended-heroes-63-217-77f038c62a,Ascended Heroes,Helioptile,63/217,675875,Helioptile,LINKED
pkm-ascended-heroes-63-217-77f038c62a,Ascended Heroes,Helioptile,63/217,677042,Helioptile (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-63-217-77f038c62a,Ascended Heroes,Helioptile,63/217,676902,Helioptile (Quick Ball),LINKED
pkm-ascended-heroes-64-217-c844b8381c,Ascended Heroes,Heliolisk,64/217,675876,Heliolisk - 064/217,SKIP_NAME_MISMATCH
pkm-ascended-heroes-64-217-c844b8381c,Ascended Heroes,Heliolisk,64/217,677043,Heliolisk - 064/217 (Energy Symbol Pattern),SKIP_NAME_MISMATCH
pkm-ascended-heroes-64-217-c844b8381c,Ascended Heroes,Heliolisk,64/217,676903,Heliolisk - 064/217 (Quick Ball),SKIP_NAME_MISMATCH
pkm-ascended-heroes-65-217-1aefbcb6d9,Ascended Heroes,Charjabug,65/217,675877,Charjabug,LINKED
pkm-ascended-heroes-65-217-1aefbcb6d9,Ascended Heroes,Charjabug,65/217,677044,Charjabug (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-65-217-1aefbcb6d9,Ascended Heroes,Charjabug,65/217,676904,Charjabug (Quick Ball),LINKED
pkm-ascended-heroes-66-217-cff8987b77,Ascended Heroes,Vikavolt,66/217,675878,Vikavolt - 066/217,SKIP_NAME_MISMATCH
pkm-ascended-heroes-66-217-cff8987b77,Ascended Heroes,Vikavolt,66/217,677045,Vikavolt - 066/217 (Energy Symbol Pattern),SKIP_NAME_MISMATCH
pkm-ascended-heroes-66-217-cff8987b77,Ascended Heroes,Vikavolt,66/217,676905,Vikavolt - 066/217 (Quick Ball),SKIP_NAME_MISMATCH
pkm-ascended-heroes-67-217-f977dae4aa,Ascended Heroes,Tapu Koko,67/217,675879,Tapu Koko,LINKED
