row_number,item_id,title,sku,match_method,match_confidence,current_price,market_price,recommended_price,difference,percent_change,recommendation,changed,review_required,reason,provider
133,147338154511,Lt. Surge's Bargain 120/132 Me01: Mega Evolution Regular,,item_specifics,medium,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
134,147338161207,Scoop Up Cyclone 093/101 Sv6: Transformation Mask Holo (Japanese),,item_specifics,medium,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
135,147342079295,Zeraora VSTAR 042/172 S12a: Vstar Universe Holo (Japanese),,item_specifics,medium,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
136,147342130583,MTG The Last Ride (Borderless) Aetherdrift Regular,,item_specifics,medium,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
137,147342131083,MTG Spotcycle Scouter [DFT] FOIL #297,,item_specifics,medium,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
138,147345948613,"NM Borderless Hulldrifter, MTG, Aetherdrift, Magic the Gathering, 300",,item_specifics,medium,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
139,147345951128,Veloheart Bike (Borderless) Aetherdrift Regular,,item_specifics,medium,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
140,147347754523,McDonald’s Pokemon Promo Lot - 10 Cards,05.19.26,sku,high,11.99,,11.99,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
141,147351665593,Skrelp 058/086 Common ME04: Chaos Rising Pokemon Reverse Holo Near Mint,,item_specifics,medium,0.99,,0.99,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
142,147351665933,Trevenant 039/086 Me04: Chaos Rising Holo,,item_specifics,medium,0.99,,0.99,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
143,147351666544,Adversity Policy 074/086 Me04: Chaos Rising Reverse Holo,,item_specifics,medium,0.99,,0.99,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
144,147351671260,Emolga (Reverse Holo) - 030/086 - Chaos Rising (CRI) ME04 - Pokemon NM/M,,item_specifics,medium,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
